Geo,Percent of Plays
United States,0.43
Kenya,0.3
Germany,0.06
Nigeria,0.06
Zimbabwe,0.04
India,0.03
South Africa,0.02
Spain,0.008908685968819599
Switzerland,0.0066815144766146995
United Kingdom,0.0066815144766146995
South Korea,0.0066815144766146995
Botswana,0.0066815144766146995
Egypt,0.004454342984409799
France,0.004454342984409799
Malawi,0.004454342984409799
Netherlands,0.0022271714922048997
Denmark,0.0022271714922048997
Sweden,0.0022271714922048997
Nepal,0.0022271714922048997
Australia,0.0022271714922048997
Ghana,0.0022271714922048997
